ステージ,番号,問題,選択肢1(正解),選択肢2,選択肢3,選択肢4,メモ欄(任意),,,,
1,1,日本の首都は?,東京,大阪,ニューヨーク,京都,,,,
1,2,日本の面積は？,38万km^2,28万km^2,48万km^2,58万km^2,,,,
1,3,日本で一番高い山は？,富士山,剣山,阿蘇山,磐梯山,,,,
1,4,日本一長い川「信濃川」の長さは？,367km,368km,356km,376km,,,,
1,5,日本で一番流域面積が広い川は？,利根川,信濃川,阿武隈川,石狩川,,,,
2,1,日本の都道府県の数は？,47,43,44,48,,,,
2,2,日本の最北端の島は？,択捉島,国後島,南鳥島,与那国島,,,,
2,3,日本の最南端の島は？,沖ノ鳥島,南鳥島,佐渡島,択捉島,,,,
2,4,日本の最西端の島は？,与那国島,石垣島,奄美大島,西表島,,,,
2,5,日本の最東端の島は？,南鳥島,奄美大島,沖ノ鳥島,淡路島,,,,
3,1,北海道の中で特に畑作が盛んな地域は？,十勝平野,石狩平野,知床半島,根釧台地,,,,
3,2,北海道の中で特に稲作が盛んな地域は？,石狩平野,十勝平野,根釧台地,知床半島,,,,
3,3,北海道の中で特に酪農が盛んな地域は？,根釧台地,石狩平野,十勝平野,知床半島,,,,
3,4,この中で世界自然遺産やジオパークに登録されていないのは？,石狩川,有珠山,知床半島,洞爺湖,,,,
3,5,現在函館～札幌間で建設が進められている交通網は？,新幹線,空港,ロープウェイ,高速道路,,,,
4,1,東北地方の県の数は？,6,5,7,4,,,,
4,2,東北地方で一番人口が多い都市は？,仙台市,福島市,青森市,盛岡市,,,,
4,3,東北地方の太平洋側と日本海側を分ける山脈は？,奥羽山脈,飛騨山脈,越後山脈,石狩山脈,,,,
4,4,青森県が生産量日本一を誇る果物は？,りんご,もも,ぶどう,いちご,,,,
4,5,三陸海岸のように入り組んでいて入江のようになっている地形をなんという？,リアス式海岸,フィヨルド,湾岸,干潟,,,,
5,1,さくらんぼの生産数が日本一を誇る都道府県は？,山形県,福島県,青森県,岩手県,,,,
5,2,日本三景に登録されている宮城県の場所は？,松島,宮島,天竜島,気仙島,,,,
5,3,この中で東北地方の伝統工芸品でない物は？,笠間焼,津軽塗,南部鉄器,鳴子漆器,,,,
5,4,青森県の西側にある半島は？,津軽半島,大隅半島,房総半島,志摩半島,,,,
5,5,青森県の東側にある半島は？,下北半島,薩摩半島,男鹿半島,御倉半島,,,,
6,1,関東地方の都道府県の数は？,7,6,8,5,,,,
6,2,関東地方にある日本最大の平野は？,関東平野,京浜平野,茨城平野,濃尾平野,,,,
6,3,関東地方を流れる、流域面積が日本一の川は？,利根川,最上川,淀川,隅田川,,,,
6,4,関東地方の台地を覆う火山灰の層をなんというか？,関東ローム,シラス台地,カルデラ,かぎ層,,,,
6,5,機械工業の生産割合が高い関東地方の工業地域は？,北関東工業地域,京浜工業地帯,京葉工業地域,中京工業地帯,,,,
7,1,東京にある東京国際空港の別名は？,羽田空港,成田空港,伊丹空港,関東空港,,,,
7,2,千葉県にある日本一の水揚げ量を誇る港は？,銚子港,焼津港,気仙沼港,釧路港,,,,
7,3,京葉工業地域の中で特に割合が高いのは何工業？,化学工業,機械工業,食料品工業,繊維工業,,,,
7,4,印刷業の割合が高い関東地方の工業地帯は？,京浜工業地域,京葉工業地域,東海工業地域,北関東工業地域,,,,
7,5,都市の消費者向けに、都市郊外で行われる農業をなんというか？,近郊農業,抑制栽培,適地適作,促成栽培,,,,
8,1,都市部からその周辺にかけて無秩序に再開発が進む現象をなんというか？,スプロール現象,ヒートアイランド現象,ストロー現象,ドーナツ化現象,,,,
8,2,都市部の気温がその郊外よりも高くなってしまう現象をなんというか？,ヒートアイランド現象,フェーン現象,スプロール現象,ドーナツ化現象,,,,
8,3,都市化が進むにつれて、都心部の人口が減り郊外に人が集まってくる現象をなんというか？,ドーナツ化現象,スプロール現象,ストロー現象,フェーン現象,,,,
8,4,関東地方の人口は約4,400万人である。これは日本の人口の約何分の1か？,3分の1,2分の1,4分の1,5分の1,,,,
8,5,渋谷や新宿などのように複数の路線が乗り入れ、列車やバスなどの起点及び終点となる駅のことをなんというか？,ターミナル駅,,アクセス駅,接続駅,始発駅,,,,
9,1,中部地方の都道府県の数は？,9,7,8,6,,,,
9,2,中部地方を3つに分けると「北陸」「中央高地」あと一つは？,東海,熱海,伊豆,富士,,,,
9,3,天然記念物のトキなどがいる新潟県の島は？,佐渡島,八丈島,与那国島,種子島,,,,
9,4,愛知県の下の方に突き出ている半島の名前は？,渥美半島,房総半島,能登半島,知多半島,,,,
9,5,石川県の上の方に突き出ている半島の名前は？,能登半島,知多半島,渥美半島,,,,,
10,1,愛知県が含まれる、機械工業の生産額が日本一の工業地帯は？,中京工業地帯,阪神工業地帯,京浜工業地帯,東海工業地域,,,,
10,2,古くからその地域に根付いて発展してきた産業をなんというか？,地場産業,伝統産業,特産物産業,,,,,
10,3,中部地方を通る新幹線は「東海道新幹線」「北陸新幹線」あと一つは？,上越新幹線,中央新幹線,山陽新幹線,中部新幹線,,,,
10,4,長野県にある避暑地で有名な場所は？,軽井沢,函館,箱根,野辺山原,,,,
10,5,岐阜県にあり、合掌造りの家が多くみられる世界遺産の場所は？,白川郷,知床,白神山地,日光の社寺,,,,
11,1,近畿地方の都道府県の数は？,7,8,6,5,,,,
11,2,滋賀県にある日本一大きい湖は？,琵琶湖,田沢湖,霞ヶ浦,猪苗代湖,,,,
11,3,近畿地方にある梅や柿の生産量が日本一の都道府県は？,和歌山県,愛媛県,滋賀県,静岡県,,,,
11,4,滋賀県の有名な陶器はどれ？,信楽焼,備前焼,笠間焼,有田焼,,,,
11,5,真珠などの養殖が盛んな三重県の半島は？,志摩半島,伊勢半島,能登半島,若狭半島,,,,
12,1,玉ねぎの生産が盛んな兵庫県の島は？,淡路島,対馬,佐渡島,竹島,,,,
12,2,三重県にある有名な神社は？,伊勢神宮,明治神宮,靖国神社,大國魂神社,,,,
12,3,奈良県にある世界最古の木造建築は？,法隆寺,清水寺,善照寺,龍安寺,,,,
12,4,昔から商業が盛んな大阪府は、江戸時代にはなんと呼ばれていたか？,天下の台所,将軍のお膝元,花の都,天皇のおひざもと,,,,
12,5,兵庫県神戸市にある人工島の名前は？,ポートアイランド,お台場,出島,天王寺アイル,,,,
13,1,中国地方の都道府県の数は？,5,6,4,7,,,,
13,2,中国地方の中で世界遺産に登録されていない場所はどこ？,出雲大社,原爆ドーム,石見銀山遺跡,厳島神社,,,,
13,3,中国地方で山陰と瀬戸内の地域を分ける山地は？,中国山地,紀伊山地,北上山地,白神山地,,,,
13,4,四国地方で瀬戸内と南四国の地域を分ける山地は？,四国山地,紀伊山地,石狩山地,関東山地,,,,
16,1,しまなみ海道・瀬戸大橋・明石海峡大橋が結ぶ3つのルートをまとめて何というか？,本州四国連絡橋,中国四国連絡橋,日本三大大橋,瀬戸内連絡橋,,,,
14,1,愛媛県が生産量日本一を誇る果物は？,みかん,いちご,ぶどう,パイナップル,,,,
14,2,岡山県倉敷市の水島地区で特に見られる、工場施設を結び付けて配置された工業地帯をなんというか？,コンビナート,発電所,カルデラ,ローム,,,,
14,3,特に広島県呉市で有名な産業は？,造船業,自動車工業,食料品工業,化学工業,,,,
14,4,四国地方の都道府県の数は？,4,3,5,6,,,,
14,5,広島市市街地などに見られる、川によって運ばれてきた土砂が堆積してできた地形は？,三角州,扇状地,V字谷,フィヨルド,,,,
15,1,広島県尾道市と愛媛県今治市を結ぶ道路を何というか？,しまなみ海道,瀬戸大橋,明石海峡大橋,大鳴門橋,,,,
15,2,岡山県の児島と香川県坂出市を結ぶ橋を何というか？,瀬戸大橋,明石海峡大橋,しまなみ海道,大鳴門橋,,,,
15,3,兵庫県神戸市と徳島県鳴門市を結ぶルートの橋の中で、世界最大の吊り橋を何というか？,明石海峡大橋,瀬戸大橋,大鳴門橋,しまなみ海道,,,,
15,4,大鳴門橋から見られる日本最大級の渦潮を何というか？,鳴門の渦潮,関門の渦潮,来島の渦潮,三陸の渦潮,,,,
15,5,本州四国連絡橋などの交通網の整備により、地方都市の人口や産業が大都市へ吸い取とられる現象は何か？,ストロー現象,スプロール現象,ドーナツ化現象,フェーン現象,,,,
16,1,これらの地域の中で、一年を通して比較的乾燥している地域はどこか？,瀬戸内,山陰,南四国,山陽,,,,
16,2,これらの地域の中で、冬になると雪が多く降る地域はどこか？,山陰,南四国,山陽,瀬戸内,,,,
16,3,これらの地域の中で、比較的夏の降水量が多い地域はどこか？,南四国,山陰,山陽,瀬戸内,,,,
16,4,主に高知県などで盛んな、通常の収穫・出荷時期より早めに収穫・出荷する栽培方法はなにか？,促成栽培,抑制栽培,養殖栽培,温室栽培,,,,
16,5,中国地方にある日本最大の砂丘はどこか？,鳥取砂丘,中田島砂丘,浜岡砂丘,内灘砂丘,,,,
17,1,九州地方の都道府県の数は？,7,8,6,5,,,,
17,2,長崎県、佐賀県、福岡県、熊本県の4県に囲まれている海を何というか？,有明海,北海,日本海,東シナ海,,,,
17,3,宇宙センターがあることで有名な鹿児島県の島は？,種子島,奄美大島,石垣島,沖縄島,,,,
17,4,屋久杉などが有名で世界遺産に登録されている鹿児島県の島は？,屋久島,奄美大島,種子島,西表島,,,,
17,5,熊本県にある世界最大級のカルデラを持つ火山はどこか？,阿蘇山,雲仙普賢岳,桜島,富士山,,,,
18,1,この中でアメリカ軍用機地の割合が最も多いのは？,沖縄県,鹿児島県,宮崎県,熊本県,,,,
18,2,沖縄県にかつて栄えていた王国は？,琉球王国,南西王国,沖縄王国,首里王国,,,,
18,3,沖縄県のあたりの海には何が広がっているか？,サンゴ礁,リアス式海岸,藻場,フィヨルド,,,,
18,4,この中で沖縄県の生産量が全国一位を誇る作物は何か？,サトウキビ,てんさい,マンゴー,,,,,
18,5,2019年に火事で燃えてしまい、現在も修復が進められている沖縄県の城は？,首里城,熊本城,唐津城,平戸城,,,,
19,1,主に大分県が火山活動を利用して行っている発電方法は？,地熱発電,太陽光発電,水力発電,原子力発電,,,,
19,2,九州南部に数多く分布する、主に火山灰からなる台地を何というか？,シラス台地,根釧台地,,,,,,
19,3,九州・沖縄地方にある日本一多くの島を持つ県はどこか？,長崎県,熊本県,佐賀県,沖縄県,,,,
19,4,佐賀県の有名な伝統工芸品はどれか？,有田焼,相馬焼,笠間焼,備前焼,,,,
19,5,主に八幡製鉄所をもとに発展した九州の工業地域はどこか？,北九州工業地域,東海工業地域,京葉工業地域,瀬戸内工業地域,,,,